filename,emotion,transcript
OAF_back_angry.wav,angry,I am extremely angry and furious to say the word back!
OAF_bar_angry.wav,angry,I am extremely angry and furious to say the word bar!
OAF_base_angry.wav,angry,I am extremely angry and furious to say the word base!
OAF_bath_angry.wav,angry,I am extremely angry and furious to say the word bath!
OAF_bean_angry.wav,angry,I am extremely angry and furious to say the word bean!
OAF_beg_angry.wav,angry,I am extremely angry and furious to say the word beg!
OAF_bite_angry.wav,angry,I am extremely angry and furious to say the word bite!
OAF_boat_angry.wav,angry,I am extremely angry and furious to say the word boat!
OAF_bone_angry.wav,angry,I am extremely angry and furious to say the word bone!
OAF_book_angry.wav,angry,I am extremely angry and furious to say the word book!
OAF_bought_angry.wav,angry,I am extremely angry and furious to say the word bought!
OAF_burn_angry.wav,angry,I am extremely angry and furious to say the word burn!
OAF_cab_angry.wav,angry,I am extremely angry and furious to say the word cab!
OAF_calm_angry.wav,angry,I am extremely angry and furious to say the word calm!
OAF_came_angry.wav,angry,I am extremely angry and furious to say the word came!
OAF_cause_angry.wav,angry,I am extremely angry and furious to say the word cause!
OAF_chain_angry.wav,angry,I am extremely angry and furious to say the word chain!
OAF_chair_angry.wav,angry,I am extremely angry and furious to say the word chair!
OAF_chalk_angry.wav,angry,I am extremely angry and furious to say the word chalk!
OAF_chat_angry.wav,angry,I am extremely angry and furious to say the word chat!
OAF_check_angry.wav,angry,I am extremely angry and furious to say the word check!
OAF_cheek_angry.wav,angry,I am extremely angry and furious to say the word cheek!
OAF_chief_angry.wav,angry,I am extremely angry and furious to say the word chief!
OAF_choice_angry.wav,angry,I am extremely angry and furious to say the word choice!
OAF_cool_angry.wav,angry,I am extremely angry and furious to say the word cool!
OAF_dab_angry.wav,angry,I am extremely angry and furious to say the word dab!
OAF_date_angry.wav,angry,I am extremely angry and furious to say the word date!
OAF_dead_angry.wav,angry,I am extremely angry and furious to say the word dead!
OAF_death_angry.wav,angry,I am extremely angry and furious to say the word death!
OAF_deep_angry.wav,angry,I am extremely angry and furious to say the word deep!
OAF_dime_angry.wav,angry,I am extremely angry and furious to say the word dime!
OAF_dip_angry.wav,angry,I am extremely angry and furious to say the word dip!
OAF_ditch_angry.wav,angry,I am extremely angry and furious to say the word ditch!
OAF_dodge_angry.wav,angry,I am extremely angry and furious to say the word dodge!
OAF_dog_angry.wav,angry,I am extremely angry and furious to say the word dog!
OAF_doll_angry.wav,angry,I am extremely angry and furious to say the word doll!
OAF_door_angry.wav,angry,I am extremely angry and furious to say the word door!
OAF_fail_angry.wav,angry,I am extremely angry and furious to say the word fail!
OAF_fall_angry.wav,angry,I am extremely angry and furious to say the word fall!
OAF_far_angry.wav,angry,I am extremely angry and furious to say the word far!
OAF_fat_angry.wav,angry,I am extremely angry and furious to say the word fat!
OAF_fit_angry.wav,angry,I am extremely angry and furious to say the word fit!
OAF_five_angry.wav,angry,I am extremely angry and furious to say the word five!
OAF_food_angry.wav,angry,I am extremely angry and furious to say the word food!
OAF_gap_angry.wav,angry,I am extremely angry and furious to say the word gap!
OAF_gas_angry.wav,angry,I am extremely angry and furious to say the word gas!
OAF_gaze_angry.wav,angry,I am extremely angry and furious to say the word gaze!
OAF_germ_angry.wav,angry,I am extremely angry and furious to say the word germ!
OAF_get_angry.wav,angry,I am extremely angry and furious to say the word get!
OAF_gin_angry.wav,angry,I am extremely angry and furious to say the word gin!
OAF_goal_angry.wav,angry,I am extremely angry and furious to say the word goal!
OAF_good_angry.wav,angry,I am extremely angry and furious to say the word good!
OAF_goose_angry.wav,angry,I am extremely angry and furious to say the word goose!
OAF_gun_angry.wav,angry,I am extremely angry and furious to say the word gun!
OAF_half_angry.wav,angry,I am extremely angry and furious to say the word half!
OAF_hall_angry.wav,angry,I am extremely angry and furious to say the word hall!
OAF_hash_angry.wav,angry,I am extremely angry and furious to say the word hash!
OAF_hate_angry.wav,angry,I am extremely angry and furious to say the word hate!
OAF_have_angry.wav,angry,I am extremely angry and furious to say the word have!
OAF_haze_angry.wav,angry,I am extremely angry and furious to say the word haze!
OAF_hire_angry.wav,angry,I am extremely angry and furious to say the word hire!
OAF_hit_angry.wav,angry,I am extremely angry and furious to say the word hit!
OAF_hole_angry.wav,angry,I am extremely angry and furious to say the word hole!
OAF_home_angry.wav,angry,I am extremely angry and furious to say the word home!
OAF_hurl_angry.wav,angry,I am extremely angry and furious to say the word hurl!
OAF_hush_angry.wav,angry,I am extremely angry and furious to say the word hush!
OAF_jail_angry.wav,angry,I am extremely angry and furious to say the word jail!
OAF_jar_angry.wav,angry,I am extremely angry and furious to say the word jar!
OAF_join_angry.wav,angry,I am extremely angry and furious to say the word join!
OAF_judge_angry.wav,angry,I am extremely angry and furious to say the word judge!
OAF_jug_angry.wav,angry,I am extremely angry and furious to say the word jug!
OAF_juice_angry.wav,angry,I am extremely angry and furious to say the word juice!
OAF_keen_angry.wav,angry,I am extremely angry and furious to say the word keen!
OAF_keep_angry.wav,angry,I am extremely angry and furious to say the word keep!
OAF_keg_angry.wav,angry,I am extremely angry and furious to say the word keg!
OAF_kick_angry.wav,angry,I am extremely angry and furious to say the word kick!
OAF_kill_angry.wav,angry,I am extremely angry and furious to say the word kill!
OAF_king_angry.wav,angry,I am extremely angry and furious to say the word king!
OAF_kite_angry.wav,angry,I am extremely angry and furious to say the word kite!
OAF_knock_angry.wav,angry,I am extremely angry and furious to say the word knock!
OAF_late_angry.wav,angry,I am extremely angry and furious to say the word late!
OAF_laud_angry.wav,angry,I am extremely angry and furious to say the word laud!
OAF_lean_angry.wav,angry,I am extremely angry and furious to say the word lean!
OAF_learn_angry.wav,angry,I am extremely angry and furious to say the word learn!
OAF_lease_angry.wav,angry,I am extremely angry and furious to say the word lease!
OAF_lid_angry.wav,angry,I am extremely angry and furious to say the word lid!
OAF_life_angry.wav,angry,I am extremely angry and furious to say the word life!
OAF_limb_angry.wav,angry,I am extremely angry and furious to say the word limb!
OAF_live_angry.wav,angry,I am extremely angry and furious to say the word live!
OAF_loaf_angry.wav,angry,I am extremely angry and furious to say the word loaf!
OAF_long_angry.wav,angry,I am extremely angry and furious to say the word long!
OAF_lore_angry.wav,angry,I am extremely angry and furious to say the word lore!
OAF_lose_angry.wav,angry,I am extremely angry and furious to say the word lose!
OAF_lot_angry.wav,angry,I am extremely angry and furious to say the word lot!
OAF_love_angry.wav,angry,I am extremely angry and furious to say the word love!
OAF_luck_angry.wav,angry,I am extremely angry and furious to say the word luck!
OAF_make_angry.wav,angry,I am extremely angry and furious to say the word make!
OAF_match_angry.wav,angry,I am extremely angry and furious to say the word match!
OAF_merge_angry.wav,angry,I am extremely angry and furious to say the word merge!
OAF_mess_angry.wav,angry,I am extremely angry and furious to say the word mess!
OAF_met_angry.wav,angry,I am extremely angry and furious to say the word met!
OAF_mill_angry.wav,angry,I am extremely angry and furious to say the word mill!
OAF_mob_angry.wav,angry,I am extremely angry and furious to say the word mob!
OAF_mode_angry.wav,angry,I am extremely angry and furious to say the word mode!
OAF_mood_angry.wav,angry,I am extremely angry and furious to say the word mood!
OAF_moon_angry.wav,angry,I am extremely angry and furious to say the word moon!
OAF_mop_angry.wav,angry,I am extremely angry and furious to say the word mop!
OAF_mouse_angry.wav,angry,I am extremely angry and furious to say the word mouse!
OAF_nag_angry.wav,angry,I am extremely angry and furious to say the word nag!
OAF_name_angry.wav,angry,I am extremely angry and furious to say the word name!
OAF_near_angry.wav,angry,I am extremely angry and furious to say the word near!
OAF_neat_angry.wav,angry,I am extremely angry and furious to say the word neat!
OAF_nice_angry.wav,angry,I am extremely angry and furious to say the word nice!
OAF_note_angry.wav,angry,I am extremely angry and furious to say the word note!
OAF_numb_angry.wav,angry,I am extremely angry and furious to say the word numb!
OAF_pad_angry.wav,angry,I am extremely angry and furious to say the word pad!
OAF_page_angry.wav,angry,I am extremely angry and furious to say the word page!
OAF_pain_angry.wav,angry,I am extremely angry and furious to say the word pain!
OAF_pass_angry.wav,angry,I am extremely angry and furious to say the word pass!
OAF_pearl_angry.wav,angry,I am extremely angry and furious to say the word pearl!
OAF_peg_angry.wav,angry,I am extremely angry and furious to say the word peg!
OAF_perch_angry.wav,angry,I am extremely angry and furious to say the word perch!
OAF_phone_angry.wav,angry,I am extremely angry and furious to say the word phone!
OAF_pick_angry.wav,angry,I am extremely angry and furious to say the word pick!
OAF_pike_angry.wav,angry,I am extremely angry and furious to say the word pike!
OAF_pole_angry.wav,angry,I am extremely angry and furious to say the word pole!
OAF_pool_angry.wav,angry,I am extremely angry and furious to say the word pool!
OAF_puff_angry.wav,angry,I am extremely angry and furious to say the word puff!
OAF_rag_angry.wav,angry,I am extremely angry and furious to say the word rag!
OAF_raid_angry.wav,angry,I am extremely angry and furious to say the word raid!
OAF_rain_angry.wav,angry,I am extremely angry and furious to say the word rain!
OAF_raise_angry.wav,angry,I am extremely angry and furious to say the word raise!
OAF_rat_angry.wav,angry,I am extremely angry and furious to say the word rat!
OAF_reach_angry.wav,angry,I am extremely angry and furious to say the word reach!
OAF_read_angry.wav,angry,I am extremely angry and furious to say the word read!
OAF_red_angry.wav,angry,I am extremely angry and furious to say the word red!
OAF_ring_angry.wav,angry,I am extremely angry and furious to say the word ring!
OAF_ripe_angry.wav,angry,I am extremely angry and furious to say the word ripe!
OAF_road_angry.wav,angry,I am extremely angry and furious to say the word road!
OAF_room_angry.wav,angry,I am extremely angry and furious to say the word room!
OAF_rose_angry.wav,angry,I am extremely angry and furious to say the word rose!
OAF_rot_angry.wav,angry,I am extremely angry and furious to say the word rot!
OAF_rough_angry.wav,angry,I am extremely angry and furious to say the word rough!
OAF_rush_angry.wav,angry,I am extremely angry and furious to say the word rush!
OAF_said_angry.wav,angry,I am extremely angry and furious to say the word said!
OAF_sail_angry.wav,angry,I am extremely angry and furious to say the word sail!
OAF_search_angry.wav,angry,I am extremely angry and furious to say the word search!
OAF_seize_angry.wav,angry,I am extremely angry and furious to say the word seize!
OAF_sell_angry.wav,angry,I am extremely angry and furious to say the word sell!
OAF_shack_angry.wav,angry,I am extremely angry and furious to say the word shack!
OAF_shall_angry.wav,angry,I am extremely angry and furious to say the word shall!
OAF_shawl_angry.wav,angry,I am extremely angry and furious to say the word shawl!
OAF_sheep_angry.wav,angry,I am extremely angry and furious to say the word sheep!
OAF_shirt_angry.wav,angry,I am extremely angry and furious to say the word shirt!
OAF_should_angry.wav,angry,I am extremely angry and furious to say the word should!
OAF_shout_angry.wav,angry,I am extremely angry and furious to say the word shout!
OAF_size_angry.wav,angry,I am extremely angry and furious to say the word size!
OAF_soap_angry.wav,angry,I am extremely angry and furious to say the word soap!
OAF_soup_angry.wav,angry,I am extremely angry and furious to say the word soup!
OAF_sour_angry.wav,angry,I am extremely angry and furious to say the word sour!
OAF_south_angry.wav,angry,I am extremely angry and furious to say the word south!
OAF_sub_angry.wav,angry,I am extremely angry and furious to say the word sub!
OAF_such_angry.wav,angry,I am extremely angry and furious to say the word such!
OAF_sure_angry.wav,angry,I am extremely angry and furious to say the word sure!
OAF_take_angry.wav,angry,I am extremely angry and furious to say the word take!
OAF_talk_angry.wav,angry,I am extremely angry and furious to say the word talk!
OAF_tape_angry.wav,angry,I am extremely angry and furious to say the word tape!
OAF_team_angry.wav,angry,I am extremely angry and furious to say the word team!
OAF_tell_angry.wav,angry,I am extremely angry and furious to say the word tell!
OAF_thin_angry.wav,angry,I am extremely angry and furious to say the word thin!
OAF_third_angry.wav,angry,I am extremely angry and furious to say the word third!
OAF_thought_angry.wav,angry,I am extremely angry and furious to say the word thought!
OAF_thumb_angry.wav,angry,I am extremely angry and furious to say the word thumb!
OAF_time_angry.wav,angry,I am extremely angry and furious to say the word time!
OAF_tip_angry.wav,angry,I am extremely angry and furious to say the word tip!
OAF_tire_angry.wav,angry,I am extremely angry and furious to say the word tire!
OAF_ton_angry.wav,angry,I am extremely angry and furious to say the word ton!
OAF_tool_angry.wav,angry,I am extremely angry and furious to say the word tool!
OAF_tough_angry.wav,angry,I am extremely angry and furious to say the word tough!
OAF_turn_angry.wav,angry,I am extremely angry and furious to say the word turn!
OAF_vine_angry.wav,angry,I am extremely angry and furious to say the word vine!
OAF_voice_angry.wav,angry,I am extremely angry and furious to say the word voice!
OAF_void_angry.wav,angry,I am extremely angry and furious to say the word void!
OAF_vote_angry.wav,angry,I am extremely angry and furious to say the word vote!
OAF_wag_angry.wav,angry,I am extremely angry and furious to say the word wag!
OAF_walk_angry.wav,angry,I am extremely angry and furious to say the word walk!
OAF_wash_angry.wav,angry,I am extremely angry and furious to say the word wash!
OAF_week_angry.wav,angry,I am extremely angry and furious to say the word week!
OAF_wheat_angry.wav,angry,I am extremely angry and furious to say the word wheat!
OAF_when_angry.wav,angry,I am extremely angry and furious to say the word when!
OAF_which_angry.wav,angry,I am extremely angry and furious to say the word which!
OAF_whip_angry.wav,angry,I am extremely angry and furious to say the word whip!
OAF_white_angry.wav,angry,I am extremely angry and furious to say the word white!
OAF_wife_angry.wav,angry,I am extremely angry and furious to say the word wife!
OAF_wire_angry.wav,angry,I am extremely angry and furious to say the word wire!
OAF_witch_angry.wav,angry,I am extremely angry and furious to say the word witch!
OAF_yearn_angry.wav,angry,I am extremely angry and furious to say the word yearn!
OAF_yes_angry.wav,angry,I am extremely angry and furious to say the word yes!
OAF_young_angry.wav,angry,I am extremely angry and furious to say the word young!
OAF_youth_angry.wav,angry,I am extremely angry and furious to say the word youth!
OAF_back_disgust.wav,disgust,It is disgusting and awful to say the word back.
OAF_bar_disgust.wav,disgust,It is disgusting and awful to say the word bar.
OAF_base_disgust.wav,disgust,It is disgusting and awful to say the word base.
OAF_bath_disgust.wav,disgust,It is disgusting and awful to say the word bath.
OAF_bean_disgust.wav,disgust,It is disgusting and awful to say the word bean.
OAF_beg_disgust.wav,disgust,It is disgusting and awful to say the word beg.
OAF_bite_disgust.wav,disgust,It is disgusting and awful to say the word bite.
OAF_boat_disgust.wav,disgust,It is disgusting and awful to say the word boat.
OAF_bone_disgust.wav,disgust,It is disgusting and awful to say the word bone.
OAF_book_disgust.wav,disgust,It is disgusting and awful to say the word book.
OAF_bought_disgust.wav,disgust,It is disgusting and awful to say the word bought.
OAF_burn_disgust.wav,disgust,It is disgusting and awful to say the word burn.
OAF_cab_disgust.wav,disgust,It is disgusting and awful to say the word cab.
OAF_calm_disgust.wav,disgust,It is disgusting and awful to say the word calm.
OAF_came_disgust.wav,disgust,It is disgusting and awful to say the word came.
OAF_cause_disgust.wav,disgust,It is disgusting and awful to say the word cause.
OAF_chain_disgust.wav,disgust,It is disgusting and awful to say the word chain.
OAF_chair_disgust.wav,disgust,It is disgusting and awful to say the word chair.
OAF_chalk_disgust.wav,disgust,It is disgusting and awful to say the word chalk.
OAF_chat_disgust.wav,disgust,It is disgusting and awful to say the word chat.
OAF_check_disgust.wav,disgust,It is disgusting and awful to say the word check.
OAF_cheek_disgust.wav,disgust,It is disgusting and awful to say the word cheek.
OAF_chief_disgust.wav,disgust,It is disgusting and awful to say the word chief.
OAF_choice_disgust.wav,disgust,It is disgusting and awful to say the word choice.
OAF_cool_disgust.wav,disgust,It is disgusting and awful to say the word cool.
OAF_dab_disgust.wav,disgust,It is disgusting and awful to say the word dab.
OAF_date_disgust.wav,disgust,It is disgusting and awful to say the word date.
OAF_dead_disgust.wav,disgust,It is disgusting and awful to say the word dead.
OAF_death_disgust.wav,disgust,It is disgusting and awful to say the word death.
OAF_deep_disgust.wav,disgust,It is disgusting and awful to say the word deep.
OAF_dime_disgust.wav,disgust,It is disgusting and awful to say the word dime.
OAF_dip_disgust.wav,disgust,It is disgusting and awful to say the word dip.
OAF_ditch_disgust.wav,disgust,It is disgusting and awful to say the word ditch.
OAF_dodge_disgust.wav,disgust,It is disgusting and awful to say the word dodge.
OAF_dog_disgust.wav,disgust,It is disgusting and awful to say the word dog.
OAF_doll_disgust.wav,disgust,It is disgusting and awful to say the word doll.
